timestamp, frame, x, y, z, qx, qy, qz, qw, fx, fy, cx, cy, distortion_center_x, distortion_center_y
133181.108762, 000134, 0.71431047, 0.5881571, 0.33674234, 0.50721306, -0.123428285, 0.84920985, 0.07964099, 1438.8618, 1438.8618, 960.6385, 727.1445, , 
133181.125433958, 000135, 0.71370125, 0.59668285, 0.342187, 0.5071535, -0.12588291, 0.84903944, 0.07797842, 1438.659, 1438.659, 960.6435, 726.99274, , 
133181.142106291, 000136, 0.71206677, 0.60460883, 0.34719333, 0.50860786, -0.1303114, 0.847564, 0.07727896, 1438.571, 1438.571, 960.64197, 726.97565, , 
133181.158778208, 000137, 0.71052337, 0.61189765, 0.35235053, 0.51057935, -0.1350759, 0.8456088, 0.077516474, 1438.6974, 1438.6974, 960.6519, 726.8626, , 
133181.175450541, 000138, 0.7094175, 0.6185513, 0.35775995, 0.51181, -0.13850437, 0.8443154, 0.077448286, 1438.8389, 1438.8389, 960.6921, 726.7977, , 
133181.192122458, 000139, 0.7085356, 0.62456405, 0.36320353, 0.5122936, -0.14092553, 0.8437193, 0.07637412, 1438.6707, 1438.6707, 960.6849, 726.68915, , 
133181.208794583, 000140, 0.7078077, 0.6299207, 0.36860088, 0.51225764, -0.14344229, 0.843487, 0.0744708, 1438.0702, 1438.0702, 960.68713, 726.5875, , 
133181.22546675, 000141, 0.7073376, 0.6345974, 0.37396562, 0.5111689, -0.1461039, 0.84387136, 0.072396025, 1438.1543, 1438.1543, 960.67426, 726.50037, , 
133181.242138916, 000142, 0.7065685, 0.63838845, 0.3791001, 0.5083095, -0.14823653, 0.8454134, 0.0701678, 1438.2651, 1438.2651, 960.7187, 726.4062, , 
133181.258810958, 000143, 0.7062515, 0.6416845, 0.38430822, 0.5039562, -0.14889598, 0.84813124, 0.06731578, 1438.3073, 1438.3073, 960.721, 726.2985, , 
133181.275483125, 000144, 0.7064331, 0.6445851, 0.38958877, -0.4986822, 0.1475863, -0.8517489, -0.06370315, 1438.2844, 1438.2844, 960.7179, 726.2108, , 
133181.29215525, 000145, 0.7068377, 0.64706266, 0.39485434, -0.4928249, 0.14447013, -0.8559751, -0.05965352, 1438.1428, 1438.1428, 960.79724, 726.12427, , 
133181.308827375, 000146, 0.7074299, 0.6491615, 0.40009296, -0.48640805, 0.14079437, -0.8604863, -0.05610143, 1438.246, 1438.246, 960.80475, 725.9987, , 
133181.3254995, 000147, 0.7081712, 0.6510129, 0.40525946, -0.47989914, 0.13745709, -0.86484754, -0.053300783, 1438.2844, 1438.2844, 960.8396, 725.92566, , 
133181.342171625, 000148, 0.7089433, 0.6534053, 0.41079822, -0.474061, 0.1347678, -0.86860573, -0.051261373, 1438.2231, 1438.2231, 960.86163, 725.7886, , 
133181.35884375, 000149, 0.7097717, 0.65548307, 0.41595683, -0.46897253, 0.13293779, -0.87171805, -0.04999853, 1438.162, 1438.162, 960.92255, 725.73334, , 
133181.375515916, 000150, 0.71069044, 0.6570963, 0.4206247, -0.4641679, 0.13158575, -0.8745426, -0.04907663, 1438.1774, 1438.1774, 960.9171, 725.6492, , 
133181.392188, 000151, 0.71169287, 0.65844476, 0.42502806, -0.45905417, 0.13048352, -0.8774512, -0.04819468, 1438.1199, 1438.1199, 960.9873, 725.547, , 
133181.408860125, 000152, 0.7128644, 0.6595978, 0.42927632, -0.45335785, 0.1295096, -0.8805972, -0.04735456, 1438.0625, 1438.0625, 961.0428, 725.4843, , 
133181.425532291, 000153, 0.71430415, 0.6605633, 0.43345514, -0.44706312, 0.12875345, -0.8839555, -0.046687927, 1438.1238, 1438.1238, 961.05634, 725.4241, , 
